text,search_needed,confidence
"Suppose I have the following: I'd like to ""pop"" two columns ('c' and 'd') off the dataframe, into a new dataframe, leaving 'a' and 'b' behind in the original df. The following does not work: Here's my error: Does anyone know a quick, classy solution, besides doing the following? I know the above code is not that tedious to type, but this is why DataFrame.pop was invented--to save us a step when popping one column off a database.",0,0.92
"[I have this table generated in sql server for different properties of different assets][1] How can I format this table in sql so that I get table such as Title becomes my first column, Supplier Name and Legal Name being my 2nd and 3rd columns respectively [1]: https://i.stack.imgur.com/tBNqE.png",0,0.9
"Google has been promoting since some time repo in Android context and has been adopted for some other projects non Android related. In Google's operating system Fuchsia Jiri is being introduced. What is the backround of these two tools? If they don't solve the same problem, what are their targets?",0,0.9
"I'm trying to filter my data through OData where the field FileRef contains lets say ""/The root path/folder/subfolder"" , I tried with substringof like so: $filter=substringof(""sites/my folder/subfolder"", FileRef) But it seems doesn´t work, so I wonder if is there an operator like or something that i can use for achieve this. Thanks a lot.",1,0.9
"i have table in my database where one column for date in String format. and i try to used strftime() method in Where statement to get all data in specific month String whereStatement=Constant.daily.Col_Remove +"" = ? AND "" +Constant.daily.Col_carowners_id +"" IN( "" +idOfMergeData+"" ) AND "" +""strftime('%m', '""+Constant.daily.Col_date+""' ) = ? ""; String [] ArgValues={""0"",date_in_month}; but there is no data retrieve.",1,0.9
I have a list of integers and I want to find out the position of the biggest integer in my list. I tried getting the biggest number by doing int max = members.Max(); and then I tried to get its index like this int highestMember = members.FindIndex(max); but it doesn't work this way,0,0.85
"I have SourceTree with local working copy. And all operations work good, I can simple fetch, push, pull and etc via SourceTree. I just needed to make force push which does not exist in SourceTree. I opened terminal made git push -f I am not sure what can be an issue.",1,0.9
I understand what each symbol means but when the symbols are combined...I can't figure out. The confusion part is (?:\s+\1\b)+. What does it mean??? Can you explain to me?? Thanks for your time!,1,0.9
"I got response like this .. 7\x00E\x00Y\x00u\x00\x97\x00\xb2\x00\xb9\x00\xac\x00\x98\x00\x87\x00x\x00[\x00(\x00\xf0\xff\xd8\xff\xfd\xffX\x00\xbb\x00\xf8\x00\x04\x01\xf8\x00\xf2\x00\xf8\x00\xf9\x00\xe7\x00\xc4\x00\x99\x00i\x007\x00\t\x00\xea\xff\xdb\xff\xd6\xff\xd0\xff\xca\xff\xca\xff\xd6\xff\xe9\xff\xfa\xff\x04\x00\x05\x00\x06\x00\x0b\x00\x12\x00\x15\x00\x12\x00\x0b\x00\x06\x00\x06\x00\x07\x00\n\x00\x10\x00\x16\x00\x1a\x00\x1a\x00\x18\x00\x16\x00\x12\x00\t\x00\xfe\xff\xf7\xff\xfb\xff\x08\x00\x1a\x00(\x000\x008\x00F\x00X\x00a\x00X\x00E\x008\x002\x00(\x00\x12\x00\xf7\xff\xe5\xff\xd9\xff\xc5\xff\xa7\xff\x93\xff\x99\xff\xaa\xff\xa8\xff\x91\xff\x87\xff\x9f\xff\xba\xff\xb1\xff\x96\xff\xa5\xff\xeb\xff\x15\x00\xc4\xff\x17\xff\xac\xfe\t\xff\x15\x005\x01\xea\x01,\x02.\x02\x05\x02\x98\x01\xe4\x00\x19\x00v\xff\x17\xff\xf6\xfe\t\xffK\xff\xa7\xff\xfb\xff)\x00&\x00\xf8\xff\xa8\xffG\xff\xf6\xfe\xda\xfe\t\xff\x85\xff@\x00\x1c\x01\xf0\x01\x8c\x02\xc1\x02u\x02\xa6\x01s\x00\x17\xff\xd5\xfd\xe6\xfck\xfcy\xfc\x15\xfd'\xfet\xff\xb2\x00\xac\x01C\x02m\x02(\x02\x8a\x01\xc6\x00\x17\x00\xa3\xffy\xff\x91\xff\xd8\xff(\x00X\x00M\x00\t\x00\x9b\xff\x17\xff\x93\xfe9\xfe;\xfe\xb6\xfe\xa1\xff\xca\x00\xf4\x01\xee\x02\x8f\x03\xb3\x03B\x03M\x02\x07\x01\xab\xffa\xfeM\xfd\xb0\xfc\xd3\xfc\xc1\xfd\x15\xff.\x00\x9b\x00b\x00\xe6\xff\x8b\xffz\xff\xa3\xff\xe7\xff1\x00y\x00\xb5\x00\xd7\x00\xd7\x00\xb9\x00\x8e\x00g\x00K\x009\x001\x007\x00H\x00Y\x00^\x00W\x00M\x00I\x00I\x00G\x00C\x00I\x00]\x00w\x00\x8c\x00\x98\x00\xa6\x00\xb8\x00\xc2\x00\xb8\x00\x9f\x00\x89\x00~\x00w\x00g\x00I\x00&\x00\x06\x00\xed\xff\xda\xff\xcd\xff\xc6\xff\xc2\xff\xba\xff\xaf\xff\xa5\xff\xa5\xff\xab\xff\xad\xff\xa5\xff\x9b\xff\x9b\xff\xa7\xff\xb5\xff\xc0\xff\xca\xff\xd4\xff\xd7\xff\xcf\xff\xc8\xff\xcf\xff\xd8\xff\xd4\xff\xc7\xff\xcc\xff\xea\xff\xfd\xff\xe6\xff\xcf\xff\x1a\x00\xf4\x00\x0f\x02\xcf\x02\xd0\x02#\x02\x19\x01\xf6\xff\xe7\xfe\x1b\xfe\xd2\xfd'\xfe\xf5\xfe\xf9\xff\xfb\x00\xd8\x01m\x02\x91\x022\x02l\x01v\x00\x86\xff\xb9\xfe#\xfe\xd0\xfd\xc3\xfd\xf0\xfd?\xfe\x98\xfe\xe9\xfe'\xffX\xff\x89\xff\xc6\xff\x17\x00\x80\x00\xf8\x00p\x01\xc8\x01\xe0\x01\xa8\x01)\x01x\x00\xab\xff\xd8\xfe\x1f\xfe\xb0\xfd\xac\xfd\x18\xfe\xdc\xfe\xd8\xff\xeb\x00\xe9\x01\x99\x02\xcf\x02\x81\x02\xc9\x01\xcf\x00\xb7\xff\x9f\xfe\xb2\xfd \xfd\x0e\xfd\x80\xfdZ\xfeo\xff how to convert this into .mp3 file ???",0,0.9
"So, I'm a complete novice, and I've been having trouble with this for a while. I have to edit this file so that all the vowels and punctuation are gone, and so that the first and last sentence is capitalized, along with the first letter of every word. I've got the first half done, but the second part is giving me trouble. Here's what I've got so far: import java.io.*; import java.io.File; import java.io.FileNotFoundException; public class SMcatcherInTheIO { public static void main (String [] args) throws Exception { File catcher= new File (""C:\\Users\\skittles0325\\Dropbox\\APCompSci 17-18\\AAA SM EXTRA CREDIT\\RyeCh1.txt""); BufferedReader br=new BufferedReader (new FileReader(catcher)); String rye; while((rye=br.readLine()) !=null) { for (int i = 0; i < rye.length(); i++) { char c = rye.charAt(i); if ((c == 'A') || (c == 'a') || (c == 'E') || (c == 'e') || (c == 'I') || (c == 'i') || (c == 'O') || (c == 'o') || (c == 'U') || (c == 'u') || (c == ',') || (c == '.') || (c == '?') || ( c == '!')) { String front = rye.substring(0, i); String back = rye.substring(i + 1); rye = front + """" + back; } } System.out.println(rye); } br.close(); }}",0,0.92
"I'm trying to verify that my source and target paths are properly setup when I execute a deploy command. See the example below: (copied from: http://eppz.eu/blog/unity-android-plugin-tutorial-2/ ) Is there any way to display the above targetProjDir string variable to some sort of console, or the Event Log in Android Studio (assuming that is it's console's name)?",1,0.9
"Searching for Dependency Injection solutions for Flutter, I found two awesome libraries: provider and get_it . As far as I can see, provider has more boilerplate, but it fits really nicely with Flutter, allowing Consumer to rebuild parts of the Widget tree onde an injected value change. get_it on the other hand is more straightforward, easier to use, and not dependant on Flutter, so can be used with any Dart code. Are there any more differences and limitations between them? I know this is kinda opinionated, but Flutter is so new that it's good to register publicly benefits, side-effects and gotchas.",0,0.9
"While looking at some Angular2 project, I see two different kind of imports : some are starting with @angular/ like @angular/core by instance, and some others with angular2 ( angular2/core ). What's the difference ? Where does that come from ?",1,0.9
