model,domain,runs,avg_dom_disc,avg_dom_disc_rate,avg_dom_conf,avg_dom_search,avg_dom_total
falcon3:1b,general,20,5.55,0.37,0.9135666666666665,10.45,15.0
falcon3:1b,math,20,10.95,0.73,0.9471000000000002,10.95,15.0
falcon3:1b,mental_health,20,13.0,0.8666666666666668,0.8873333333333335,13.0,15.0
falcon3:1b,programming,20,9.65,0.6433333333333333,0.9003,9.65,15.0
granite3.1-moe:1b,general,20,8.5,0.5666666666666667,0.9543333333333331,6.5,15.0
granite3.1-moe:1b,math,20,6.5,0.4333333333333333,0.9387333333333332,6.5,15.0
granite3.1-moe:1b,mental_health,20,7.0,0.4666666666666666,0.9470999999999998,7.0,15.0
granite3.1-moe:1b,programming,20,5.5,0.36666666666666664,0.9328666666666665,5.5,15.0
granite3.3:2b,general,20,4.5,0.3,0.959333333333333,9.5,15.0
granite3.3:2b,math,20,0.45,0.03,0.9958333333333333,0.45,15.0
granite3.3:2b,mental_health,20,7.0,0.4666666666666666,0.9081666666666666,7.0,15.0
granite3.3:2b,programming,20,9.0,0.6,0.950233333333333,10.0,15.0
llama3.2:1b,general,20,6.5,0.4333333333333333,0.7509666666666666,8.5,15.0
llama3.2:1b,math,20,6.5,0.4333333333333333,0.8585999999999998,6.5,15.0
llama3.2:1b,mental_health,20,3.05,0.2033333333333333,0.7582666666666666,3.05,15.0
llama3.2:1b,programming,20,9.95,0.6633333333333333,0.6576,9.95,15.0
phi4-mini:3.8b,general,20,3.5,0.23333333333333334,0.9338333333333331,14.5,15.0
phi4-mini:3.8b,math,20,2.0,0.13333333333333336,0.9933333333333334,2.0,15.0
phi4-mini:3.8b,mental_health,20,11.55,0.77,0.9081666666666666,11.55,15.0
phi4-mini:3.8b,programming,20,11.05,0.7366666666666666,0.9211666666666665,12.05,15.0
qwen2.5:0.5b-instruct,general,20,7.5,0.5,0.9705333333333332,7.5,15.0
qwen2.5:0.5b-instruct,math,20,6.9,0.45999999999999996,0.9936333333333334,6.9,15.0
qwen2.5:0.5b-instruct,mental_health,20,5.95,0.39666666666666667,0.975,5.95,15.0
qwen2.5:0.5b-instruct,programming,20,5.05,0.33666666666666667,0.9491333333333334,5.05,15.0
