timestamp,model,total_questions,cpu_time_total,cpu_time_avg,latency_total,latency_avg,search_count,no_search_count,avg_confidence,errors,discrepancies_total,avg_delta_conf,avg_abs_delta_conf,options_json,domains_json
1757131660.5185823,phi4-mini:3.8b,60,1.437500,0.023958,158.596112,2.643269,41,19,0.957500,0,30,0.098000,0.106667,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 14, ""no_search"": 1, ""avg_confidence"": 0.9533333333333331, ""discrepancies"": 4, ""discrepancies_pct"": 0.26666666666666666, ""avg_delta_conf"": 0.13749999999999996}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 11, ""no_search"": 4, ""avg_confidence"": 0.9366666666666664, ""discrepancies"": 11, ""discrepancies_pct"": 0.7333333333333333, ""avg_delta_conf"": 0.08909090909090908}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 13, ""no_search"": 2, ""avg_confidence"": 0.9499999999999997, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.12499999999999996}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 3, ""no_search"": 12, ""avg_confidence"": 0.99, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": -0.030000000000000027}}"
1757131701.668083,granite3.1-moe:1b,60,1.421875,0.023698,39.933097,0.665552,13,47,0.923167,0,26,0.064615,0.072308,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 0, ""no_search"": 15, ""avg_confidence"": 0.9453333333333332, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.04666666666666661}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.9339999999999998, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.10399999999999998}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.9019999999999998, ""discrepancies"": 6, ""discrepancies_pct"": 0.4, ""avg_delta_conf"": 0.10499999999999997}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 3, ""no_search"": 12, ""avg_confidence"": 0.9113333333333333, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": -0.010000000000000009}}"
1757131790.4927015,falcon3:1b,60,1.421875,0.023698,87.082134,1.451369,32,28,0.960167,0,37,0.084324,0.096757,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.9239999999999999, ""discrepancies"": 9, ""discrepancies_pct"": 0.6, ""avg_delta_conf"": 0.04999999999999998}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.9560000000000001, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.12}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 7, ""no_search"": 8, ""avg_confidence"": 0.9866666666666667, ""discrepancies"": 8, ""discrepancies_pct"": 0.5333333333333333, ""avg_delta_conf"": 0.16249999999999998}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 8, ""no_search"": 7, ""avg_confidence"": 0.9740000000000002, ""discrepancies"": 8, ""discrepancies_pct"": 0.5333333333333333, ""avg_delta_conf"": -0.008749999999999994}}"
1757131914.8883646,granite3.3:2b,60,1.593750,0.026562,122.933410,2.048890,20,40,0.937667,0,17,0.075294,0.082353,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 7, ""no_search"": 8, ""avg_confidence"": 0.9586666666666664, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.08599999999999997}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.8566666666666667, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.07000000000000002}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 8, ""no_search"": 7, ""avg_confidence"": 0.9406666666666665, ""discrepancies"": 7, ""discrepancies_pct"": 0.4666666666666667, ""avg_delta_conf"": 0.07142857142857141}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 0, ""no_search"": 15, ""avg_confidence"": 0.9946666666666668, ""discrepancies"": 0, ""discrepancies_pct"": 0.0, ""avg_delta_conf"": 0.0}}"
1757131953.6750603,qwen2.5:0.5b-instruct,60,1.515625,0.025260,37.137339,0.618956,13,47,0.957500,0,26,0.061923,0.081923,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 0, ""no_search"": 15, ""avg_confidence"": 0.9499999999999998, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.03999999999999998}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 3, ""no_search"": 12, ""avg_confidence"": 0.974, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": 0.15666666666666665}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 4, ""no_search"": 11, ""avg_confidence"": 0.9093333333333333, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.118}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 6, ""no_search"": 9, ""avg_confidence"": 0.9966666666666667, ""discrepancies"": 6, ""discrepancies_pct"": 0.4, ""avg_delta_conf"": 0.011666666666666678}}"
1757132025.6892006,llama3.2:1b,60,1.640625,0.027344,69.202268,1.153371,12,48,0.696500,0,21,-0.198095,0.217143,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 2, ""no_search"": 13, ""avg_confidence"": 0.5006666666666666, ""discrepancies"": 10, ""discrepancies_pct"": 0.6666666666666666, ""avg_delta_conf"": -0.31800000000000006}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 2, ""no_search"": 13, ""avg_confidence"": 0.704, ""discrepancies"": 2, ""discrepancies_pct"": 0.13333333333333333, ""avg_delta_conf"": 0.015000000000000013}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.7099999999999999, ""discrepancies"": 6, ""discrepancies_pct"": 0.4, ""avg_delta_conf"": -0.11}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 3, ""no_search"": 12, ""avg_confidence"": 0.8713333333333334, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": -0.11666666666666665}}"
1757132184.1794355,phi4-mini:3.8b,60,1.671875,0.027865,155.897604,2.598293,40,20,0.954167,0,29,0.096207,0.105172,"{""format"": ""json"", ""temperature"": 0.07, ""top_p"": 0.57, ""top_k"": 1, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 14, ""no_search"": 1, ""avg_confidence"": 0.9533333333333331, ""discrepancies"": 4, ""discrepancies_pct"": 0.26666666666666666, ""avg_delta_conf"": 0.13749999999999996}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 11, ""no_search"": 4, ""avg_confidence"": 0.9366666666666664, ""discrepancies"": 11, ""discrepancies_pct"": 0.7333333333333333, ""avg_delta_conf"": 0.08909090909090908}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.9366666666666663, ""discrepancies"": 11, ""discrepancies_pct"": 0.7333333333333333, ""avg_delta_conf"": 0.1227272727272727}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 3, ""no_search"": 12, ""avg_confidence"": 0.99, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": -0.030000000000000027}}"
1757132231.2073019,granite3.1-moe:1b,60,2.046875,0.034115,45.392359,0.756539,14,46,0.931500,0,27,0.074444,0.078148,"{""format"": ""json"", ""temperature"": 0.07, ""top_p"": 0.57, ""top_k"": 1, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 0, ""no_search"": 15, ""avg_confidence"": 0.9519999999999998, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.054999999999999945}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.9453333333333332, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.10399999999999998}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 6, ""no_search"": 9, ""avg_confidence"": 0.9153333333333331, ""discrepancies"": 7, ""discrepancies_pct"": 0.4666666666666667, ""avg_delta_conf"": 0.12285714285714282}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 3, ""no_search"": 12, ""avg_confidence"": 0.9133333333333333, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": -0.010000000000000009}}"
1757132320.4977875,falcon3:1b,60,1.546875,0.025781,87.173969,1.452899,33,27,0.957000,0,36,0.081667,0.095000,"{""format"": ""json"", ""temperature"": 0.07, ""top_p"": 0.57, ""top_k"": 1, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 6, ""no_search"": 9, ""avg_confidence"": 0.9153333333333332, ""discrepancies"": 8, ""discrepancies_pct"": 0.5333333333333333, ""avg_delta_conf"": 0.04374999999999998}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.9493333333333335, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.12416666666666669}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 6, ""no_search"": 9, ""avg_confidence"": 0.9920000000000002, ""discrepancies"": 7, ""discrepancies_pct"": 0.4666666666666667, ""avg_delta_conf"": 0.16857142857142854}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 9, ""no_search"": 6, ""avg_confidence"": 0.9713333333333336, ""discrepancies"": 9, ""discrepancies_pct"": 0.6, ""avg_delta_conf"": -0.008888888888888884}}"
1757132457.2291048,granite3.3:2b,60,1.750000,0.029167,135.267389,2.254456,20,40,0.937667,0,17,0.078235,0.085294,"{""format"": ""json"", ""temperature"": 0.07, ""top_p"": 0.57, ""top_k"": 1, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 7, ""no_search"": 8, ""avg_confidence"": 0.9586666666666664, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.08599999999999997}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.8533333333333333, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.07000000000000002}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 8, ""no_search"": 7, ""avg_confidence"": 0.9439999999999997, ""discrepancies"": 7, ""discrepancies_pct"": 0.4666666666666667, ""avg_delta_conf"": 0.07857142857142854}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 0, ""no_search"": 15, ""avg_confidence"": 0.9946666666666668, ""discrepancies"": 0, ""discrepancies_pct"": 0.0, ""avg_delta_conf"": 0.0}}"
