timestamp,model,total_questions,cpu_time_total,cpu_time_avg,latency_total,latency_avg,search_count,no_search_count,avg_confidence,errors,discrepancies_total,avg_delta_conf,avg_abs_delta_conf,options_json,domains_json
1757137645.9854577,phi4-mini:3.8b,60,1.406250,0.023438,155.716611,2.595277,41,19,0.925833,0,28,0.048571,0.060714,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 15, ""no_search"": 0, ""avg_confidence"": 0.9233333333333331, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": 0.11666666666666663}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 13, ""no_search"": 2, ""avg_confidence"": 0.8766666666666665, ""discrepancies"": 13, ""discrepancies_pct"": 0.8666666666666667, ""avg_delta_conf"": 0.02923076923076923}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.9066666666666665, ""discrepancies"": 11, ""discrepancies_pct"": 0.7333333333333333, ""avg_delta_conf"": 0.05999999999999997}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 1, ""no_search"": 14, ""avg_confidence"": 0.9966666666666666, ""discrepancies"": 1, ""discrepancies_pct"": 0.06666666666666667, ""avg_delta_conf"": -0.030000000000000027}}"
1757137686.639147,granite3.1-moe:1b,60,1.437500,0.023958,39.449148,0.657486,38,22,0.954833,0,29,0.074138,0.094138,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 13, ""no_search"": 2, ""avg_confidence"": 0.9573333333333331, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.12799999999999995}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 9, ""no_search"": 6, ""avg_confidence"": 0.9499999999999997, ""discrepancies"": 9, ""discrepancies_pct"": 0.6, ""avg_delta_conf"": 0.11777777777777776}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 6, ""no_search"": 9, ""avg_confidence"": 0.9499999999999997, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.14599999999999996}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 10, ""no_search"": 5, ""avg_confidence"": 0.962, ""discrepancies"": 10, ""discrepancies_pct"": 0.6666666666666666, ""avg_delta_conf"": -0.028000000000000004}}"
1757137784.4375849,falcon3:1b,60,1.609375,0.026823,96.158135,1.602636,55,5,0.869333,0,42,0.014286,0.075238,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 15, ""no_search"": 0, ""avg_confidence"": 0.9079999999999999, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": 0.07333333333333332}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 14, ""no_search"": 1, ""avg_confidence"": 0.8400000000000001, ""discrepancies"": 14, ""discrepancies_pct"": 0.9333333333333333, ""avg_delta_conf"": -0.007142857142857102}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 13, ""no_search"": 2, ""avg_confidence"": 0.7966666666666666, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.09166666666666663}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 13, ""no_search"": 2, ""avg_confidence"": 0.9326666666666666, ""discrepancies"": 13, ""discrepancies_pct"": 0.8666666666666667, ""avg_delta_conf"": -0.04769230769230767}}"
1757137920.4529233,granite3.3:2b,60,1.718750,0.028646,134.497131,2.241619,33,27,0.968333,0,24,0.121250,0.121250,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.9599999999999997, ""discrepancies"": 4, ""discrepancies_pct"": 0.26666666666666666, ""avg_delta_conf"": 0.12499999999999997}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 9, ""no_search"": 6, ""avg_confidence"": 0.9566666666666666, ""discrepancies"": 9, ""discrepancies_pct"": 0.6, ""avg_delta_conf"": 0.10222222222222221}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.9566666666666664, ""discrepancies"": 11, ""discrepancies_pct"": 0.7333333333333333, ""avg_delta_conf"": 0.1354545454545454}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 0, ""no_search"": 15, ""avg_confidence"": 1.0, ""discrepancies"": 0, ""discrepancies_pct"": 0.0, ""avg_delta_conf"": 0.0}}"
1757137959.672583,qwen2.5:0.5b-instruct,60,1.562500,0.026042,37.707840,0.628464,36,24,0.985333,0,23,0.122609,0.125217,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 15, ""no_search"": 0, ""avg_confidence"": 0.99, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": 0.19999999999999998}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 8, ""no_search"": 7, ""avg_confidence"": 0.9753333333333332, ""discrepancies"": 8, ""discrepancies_pct"": 0.5333333333333333, ""avg_delta_conf"": 0.13124999999999998}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 7, ""no_search"": 8, ""avg_confidence"": 0.9839999999999999, ""discrepancies"": 6, ""discrepancies_pct"": 0.4, ""avg_delta_conf"": 0.18666666666666665}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 6, ""no_search"": 9, ""avg_confidence"": 0.9920000000000001, ""discrepancies"": 6, ""discrepancies_pct"": 0.4, ""avg_delta_conf"": 0.00833333333333334}}"
1757138030.5156248,llama3.2:1b,60,1.640625,0.027344,68.982709,1.149712,44,16,0.834333,0,31,-0.191290,0.303548,"{""format"": ""json"", ""temperature"": 0.19, ""top_p"": 0.51, ""top_k"": 3, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 15, ""no_search"": 0, ""avg_confidence"": 1.0, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": 0.19999999999999998}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.9606666666666667, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.052000000000000025}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 14, ""no_search"": 1, ""avg_confidence"": 0.5266666666666667, ""discrepancies"": 13, ""discrepancies_pct"": 0.8666666666666667, ""avg_delta_conf"": -0.3646153846153846}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 10, ""no_search"": 5, ""avg_confidence"": 0.8499999999999999, ""discrepancies"": 10, ""discrepancies_pct"": 0.6666666666666666, ""avg_delta_conf"": -0.205}}"
1757138189.6795745,phi4-mini:3.8b,60,1.703125,0.028385,156.388386,2.606473,40,20,0.923333,0,27,0.042593,0.055926,"{""format"": ""json"", ""temperature"": 0.07, ""top_p"": 0.57, ""top_k"": 1, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 15, ""no_search"": 0, ""avg_confidence"": 0.913333333333333, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": 0.09999999999999998}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.8799999999999998, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.022500000000000003}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.9033333333333331, ""discrepancies"": 11, ""discrepancies_pct"": 0.7333333333333333, ""avg_delta_conf"": 0.05545454545454542}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 1, ""no_search"": 14, ""avg_confidence"": 0.9966666666666666, ""discrepancies"": 1, ""discrepancies_pct"": 0.06666666666666667, ""avg_delta_conf"": -0.030000000000000027}}"
1757138230.6023347,granite3.1-moe:1b,60,1.578125,0.026302,39.164199,0.652737,37,23,0.956000,0,28,0.071071,0.090357,"{""format"": ""json"", ""temperature"": 0.07, ""top_p"": 0.57, ""top_k"": 1, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 13, ""no_search"": 2, ""avg_confidence"": 0.9573333333333331, ""discrepancies"": 5, ""discrepancies_pct"": 0.3333333333333333, ""avg_delta_conf"": 0.12799999999999995}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 9, ""no_search"": 6, ""avg_confidence"": 0.9499999999999997, ""discrepancies"": 9, ""discrepancies_pct"": 0.6, ""avg_delta_conf"": 0.11777777777777776}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 5, ""no_search"": 10, ""avg_confidence"": 0.9526666666666664, ""discrepancies"": 4, ""discrepancies_pct"": 0.26666666666666666, ""avg_delta_conf"": 0.13499999999999998}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 10, ""no_search"": 5, ""avg_confidence"": 0.964, ""discrepancies"": 10, ""discrepancies_pct"": 0.6666666666666666, ""avg_delta_conf"": -0.025}}"
1757138329.7225196,falcon3:1b,60,1.750000,0.029167,97.414232,1.623571,55,5,0.861667,0,42,0.005476,0.080714,"{""format"": ""json"", ""temperature"": 0.07, ""top_p"": 0.57, ""top_k"": 1, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 15, ""no_search"": 0, ""avg_confidence"": 0.9106666666666665, ""discrepancies"": 3, ""discrepancies_pct"": 0.2, ""avg_delta_conf"": 0.07333333333333332}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 14, ""no_search"": 1, ""avg_confidence"": 0.8153333333333334, ""discrepancies"": 14, ""discrepancies_pct"": 0.9333333333333333, ""avg_delta_conf"": -0.029999999999999964}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 13, ""no_search"": 2, ""avg_confidence"": 0.7999999999999999, ""discrepancies"": 12, ""discrepancies_pct"": 0.8, ""avg_delta_conf"": 0.09583333333333331}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 13, ""no_search"": 2, ""avg_confidence"": 0.9206666666666667, ""discrepancies"": 13, ""discrepancies_pct"": 0.8666666666666667, ""avg_delta_conf"": -0.05538461538461536}}"
1757138466.0021641,granite3.3:2b,60,1.625000,0.027083,134.673603,2.244560,34,26,0.967500,0,25,0.115200,0.117600,"{""format"": ""json"", ""temperature"": 0.07, ""top_p"": 0.57, ""top_k"": 1, ""repeat_penalty"": 1.1, ""num_thread"": 6, ""num_predict"": 22, ""raw"": true}","{""general"": {""domain"": ""general"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.9599999999999997, ""discrepancies"": 4, ""discrepancies_pct"": 0.26666666666666666, ""avg_delta_conf"": 0.12499999999999997}, ""mental_health"": {""domain"": ""mental_health"", ""total"": 15, ""search"": 9, ""no_search"": 6, ""avg_confidence"": 0.9566666666666666, ""discrepancies"": 9, ""discrepancies_pct"": 0.6, ""avg_delta_conf"": 0.10222222222222221}, ""programming"": {""domain"": ""programming"", ""total"": 15, ""search"": 12, ""no_search"": 3, ""avg_confidence"": 0.9566666666666664, ""discrepancies"": 11, ""discrepancies_pct"": 0.7333333333333333, ""avg_delta_conf"": 0.1354545454545454}, ""math"": {""domain"": ""math"", ""total"": 15, ""search"": 1, ""no_search"": 14, ""avg_confidence"": 0.9966666666666666, ""discrepancies"": 1, ""discrepancies_pct"": 0.06666666666666667, ""avg_delta_conf"": -0.030000000000000027}}"
